,Name,RAM,ROM,Extended_memory,Battery,Processor,Price
508,Tecno Camon 15,4,64,256,5000,Helio P22 MT6762 Processor,11499
509,Tecno Camon 15,4,64,256,5000,Helio P22 MT6762 Processor,11499
510,SAMSUNG Galaxy Note 20,8,256,0,4300,Exynos Octa Core Processor,77999
511,ViVO Y91i,2,32,256,4030,MTK Helio P22 Processor,10097
512,ViVO Y91i,2,32,256,4030,MTK Helio P22 Processor,10108
513,Redmi Note 7 Pro,4,64,256,4000,Qualcomm Snapdragon 675 Processor,14999
514,Mi A2,4,64,0,3010,Qualcomm Snapdragon 660 AIE Processor,13999
515,ViVO Y20,6,64,256,5000,Qualcomm Snapdragon 460 Processor,16999
516,ViVO Y20,6,64,256,5000,Qualcomm Snapdragon 460 Processor,16999
517,ViVO Y20A,3,64,256,5000,Qualcomm Snapdragon 439 Processor,12149
518,OPPO A5s,4,64,256,4230,MediaTek Helio P35 Processor,12999
519,OPPO A3s,3,32,256,4230,Qualcomm Snapdragon 450 Processor,12000
520,Redmi Note 8,6,128,512,4000,Qualcomm Snapdragon 665 Processor,15998
521,ViVO V20,8,128,1,4000,Qualcomm Snapdragon 720G Processor,24990
522,ViVO V20 SE,8,128,1,4100,Qualcomm Snapdragon 665 Processor,21000
523,ViVO V15 Pro,6,128,256,3700,Qualcomm Snapdragon 675AIE Octa Core 20GHz Processor,32990
524,SAMSUNG Galaxy Note 20 Ultra 5G,12,256,1,4500,Exynos Octa Core Processor,91999
525,SAMSUNG Galaxy A21s,6,64,512,5000,Exynos 850 Octa Core Processor,19999
526,ViVO Y17,4,128,256,5000,MTK Helio P35 MT6765 Processor,13900
527,ViVO Y17,4,128,256,5000,MTK Helio P35 MT6765 Processor,13900
528,ViVO V15 Pro,6,128,256,3700,Qualcomm Snapdragon 675AIE Octa Core 20GHz Processor,23990
529,OPPO A7,4,64,256,4230,Qualcomm Snapdragon 450 Processor,18990
530,OPPO A7,4,64,256,4230,Qualcomm Snapdragon 450 Processor,18814
531,SAMSUNG Galaxy S21 Ultra,12,256,0,5000,Exynos 2100 Processor,109999
532,SAMSUNG Galaxy A21s,4,64,512,5000,Exynos 850 Octa Core Processor,17999
533,ViVO Y81,3,32,256,3260,MT6762 Octa Core Helio P22 Processor,11500
534,Honor 9N,3,32,256,3000,Kirin 659 Octa Core Processor,12500
535,OPPO A52,6,128,256,5000,Qualcomm Snapdragon 665 Processor,16990
536,Honor 9N,3,32,256,3000,Kirin 659 Octa Core Processor,12500
537,OPPO A52,6,128,256,5000,Qualcomm Snapdragon 665 Processor,16990
538,OPPO F9 Pro,6,64,256,3500,Mediatek Helio P60 Octacore 20 GHz Processor,19990
539,OPPO A5,4,32,256,4230,Qualcomm Snapdragon 450 Processor,14990
540,OPPO A5,4,64,256,4230,Qualcomm Snapdragon 450 Processor,15990
541,Honor 8,4,32,128,3000,ARM Hisilicon Kirin 950  ARM Cortex A72  ARM Cortex A53 Octa Core 23GHz Processor,30000
542,POCO F1,8,256,256,4000,Qualcomm Snapdragon 845 Processor,19999
543,Nokia 5.3,4,64,0,4000,Qualcomm Snapdragon 665 Processor,11999
544,SAMSUNG Galaxy A20s,4,64,512,4000,Qualcomm SDM450B01 Processor,14900
545,SAMSUNG Galaxy A20,3,32,512,4000,Exynos 7884B Processor,12900
546,ViVO Y93,4,32,256,4030,MediaTek Helio P22 Processor,17000
547,OPPO F5,4,32,256,3200,Mediatek MT6763T Octa Core 25 GHz Processor,15500
548,SAMSUNG Galaxy A72,8,256,1,5000,Qualcomm Snapdragon 720G Processor,40990
549,SAMSUNG Galaxy A20s,3,32,512,4000,Qualcomm SDM450B01 Processor,12900
550,OPPO A3s,3,32,256,4230,Qualcomm Snapdragon 450 Processor,12990
551,ViVO Y55S,3,16,256,2730,Qualcomm Snapdragon 425 64bit Quad Core 14GHz Processor,13995
552,SAMSUNG Galaxy J6,4,64,256,3000,Exynos 7870 Processor,14990
553,OPPO F3,4,64,128,3200,Mediatek MT6750T Processor,18000
554,SAMSUNG Galaxy A50,6,64,512,4000,Exynos 9610 Processor,24000
555,SAMSUNG Galaxy J5 Prime,3,32,256,2400,Exynos 7570 Quad Core 14GHz Processor,13500
556,ViVO Y93,4,32,256,4030,MediaTek Helio P22 Processor,15990
557,OPPO A3s,3,32,256,4230,Qualcomm Snapdragon 450 Processor,12990
